hash,params,onchip_used_bytes,offchip_streamed_bytes,total_ops,mapped,latency_ms_median,latency_ms_min,latency_ms_p95,latency_ms_mean,n_timed,status
837f1f77737c7f262afd9d7271a99b85,13317514,7969177,5431623,68,TRUE,12.8666,12.8026,12.9914,12.8811,100,timed
7e1457ddf24845418005c21c07757841,8135050,7895777,297472,86,TRUE,1.7960,1.7415,1.9096,1.8154,100,timed
9fbcfdba7eb6a45217da1a8c3fbb3b71,3566730,3628072,0,86,TRUE,1.2062,1.1728,1.4099,1.2269,100,timed
b59d40920fd59f2b76a8ae0c5504085c,3918986,3974103,0,104,TRUE,1.4036,1.3616,1.5906,1.4383,100,timed
0b4c894ca3edffb49c77ea258aa3f72e,6510218,6574571,0,86,TRUE,1.5059,1.4689,1.6737,1.5280,100,timed
32b26a4044bf082b0ad80f5dad618d76,11231626,7864320,3428843,41,TRUE,8.3214,8.2547,8.4807,8.3431,100,timed
6974deeab04fad2934c8468d2f242171,6070666,6134169,0,95,TRUE,1.5239,1.4864,1.6389,1.5414,100,timed
e2d787062ed9ea083cbc441ea26d1c55,22454154,8021606,14522777,86,TRUE,33.3427,33.1830,33.4381,33.3464,100,timed
2a5ecf52cbbc72f82e9d3f85f3899354,2784332,3491758,0,95,TRUE,1.1945,1.1572,1.3543,1.2158,100,timed
24c4c721360d64daac9dd571817d6f6b,3742858,3795845,0,95,TRUE,1.2881,1.2418,1.4342,1.3132,100,timed
70b10fe679ce2c532a9b061c609da8bc,3818973,4771020,0,95,TRUE,1.2667,1.2278,1.3864,1.2810,100,timed
f5d1ee732533b9317ae8820af664da43,1990727,2506096,0,95,TRUE,1.0194,0.9882,1.1396,1.0400,100,timed
25096dc2986f9bd17a2d1ec37f88cfdf,15075722,8032092,7151288,104,TRUE,16.9783,16.8707,17.1232,17.0001,100,timed
f8d6fa2722e16ea30e77e7d272e78375,2810250,2873098,0,86,TRUE,1.6626,1.6253,1.8334,1.6861,100,timed
1499a73e3b84789ad556ca8303455065,24376202,7906263,16588472,95,TRUE,37.9901,37.8288,38.1565,38.0074,100,timed
