hash,params,coral_latency_ms,coral_offchip_bytes,npu_latency_ms_median,npu_latency_ms_min,npu_latency_ms_p95,npu_latency_ms_mean,npu_n_timed,status
093c374abde96ff2195a516ed51d8930,,,,3.3833,3.1808,3.9450,3.5535,100,timed
0970f440a3f00ae09ecdb6f5d27540e3,,,,4.9149,4.6904,5.4195,5.0307,100,timed
09cc2e6a3bb766ba617fa99236c5ff4f,,,,6.0510,5.3332,6.1988,5.9723,100,timed
09fc2d10bdd6225e167a6f81a22a3f06,,,,1.9877,1.9694,2.0846,1.9998,100,timed
0a3bcce1bdb5ad9e9809e6dae4ef451d,,,,3.8295,3.7312,3.8685,3.8252,100,timed
0a717117beece9157e67f6eb75517763,,,,3.8942,3.8251,3.9521,3.8944,100,timed
0a8388379b342a251a517c221111ac11,,,,4.6216,4.5586,4.7080,4.6347,100,timed
0aa38cacf8f33fe81fe44d932636e9f2,,,,4.5593,4.4801,4.6126,4.5614,100,timed
0ace73d4e8bea738c3d1acdf72de0c3a,,,,7.9927,7.8501,8.0888,7.9812,100,timed
0b08e23e6e8b9337416ee884a50d577a,,,,3.2651,3.1645,3.3064,3.2561,100,timed
0b192a7077200e1888810a75d49754f3,,,,4.2244,4.1579,4.2695,4.2267,100,timed
0b311d4cc1e30b4e6643be185f501b28,,,,4.4711,4.4117,4.5349,4.4800,100,timed
0b4c894ca3edffb49c77ea258aa3f72e,,,,4.1664,4.1101,4.2377,4.1723,100,timed
0b6b76b6f2150440bf717d660b3fd567,,,,4.2672,4.1635,4.3101,4.2667,100,timed
0bc81d0ab8d29c89e00e8795ea66bcad,,,,4.8120,4.7349,4.8619,4.8124,100,timed
0c7938a14731a85d2fd0aca298eda074,,,,5.3793,5.3052,5.4069,5.3783,100,timed
0c89700597ad3662c85d1a1457ca94c2,,,,4.2673,4.1923,4.2976,4.2560,100,timed
0cc9426bf35e6e110d77bb8fbca177ba,,,,3.9140,3.8280,4.0216,3.9132,100,timed
0cd5aff4e3f44ec7fd0cdea0b25cbcc5,,,,4.1483,4.0532,4.1789,4.1424,100,timed
0d3c0ce16a90c0d50618769f2547c8f2,,,,5.8757,5.7336,5.9286,5.8769,100,timed
0d90a5d14d815418d08a5a53d9f0bad2,,,,6.2910,5.6054,6.3601,6.1770,100,timed
0da761dba61a8ddaa4458e24c94abffc,,,,4.3885,3.7672,4.4445,4.2873,100,timed
0dee31cc5fa22a286f00a90c2dc8f8ee,,,,6.3862,5.7140,6.5061,6.3060,100,timed
0e1593a94de5bc5e0ebff96ebe4e7304,,,,6.2508,5.6008,6.3307,6.1692,100,timed
0e29b0f85d696cc300af5b65c7ea264d,,,,7.5026,6.8049,7.5754,7.4152,100,timed
0e31775732548b0c90d80a6bd2f9154d,,,,4.7046,4.1404,4.8277,4.6371,100,timed
0e46dc003e269edef361afacbb1dfec7,,,,5.9214,5.4556,6.0325,5.8832,100,timed
0ea046bd83ad24242aa4e1ed1090a073,,,,6.0710,5.4886,6.1732,6.0058,100,timed
0ed8f83666e1fb7f79ca02bdde890d2d,,,,3.4717,3.1158,4.2049,3.5804,100,timed
0ee493fe7bb618a0ae642840558f62a0,,,,2.7698,2.6589,3.6396,2.9716,100,timed
110619da4fafebfc831b21d26343a230,,,,4.7938,4.1688,5.2043,4.6576,100,timed
115c3dfab6fd1231dd465ca5a0d5b507,,,,2.3271,2.2954,2.3782,2.3329,100,timed
11ce5773627a6bc429030308a0a119ff,,,,3.5839,3.0789,3.7218,3.4456,100,timed
11f2e9e8dbc0f211fde593054d04225a,,,,7.4846,7.0060,7.5700,7.4245,100,timed
126ea449e5bc5ea4428d138c5c5ff41d,,,,6.2214,5.6823,6.4523,6.2084,100,timed
1285fc826d8c65dc92f132f21565d83e,,,,8.0236,7.4045,8.0994,7.9756,100,timed
12f87ffb6565d759e00d7536ae4b5200,,,,4.9971,4.4823,5.1149,4.9476,100,timed
1301d79cd7922fa516eea152b69b1aca,,,,5.9757,5.3594,6.0590,5.8884,100,timed
139eaf391eac2a81db1f8c2c773217bf,,,,5.5065,5.4537,6.1257,5.6384,100,timed
13e677d747f01fcad4c15aa4b6d86c96,,,,5.6355,5.1166,5.7488,5.5797,100,timed
1484414f42c86d8c9715aea5385d6725,,,,5.7024,5.1754,5.8236,5.6481,100,timed
1499a73e3b84789ad556ca8303455065,,,,6.8035,6.2427,6.8772,6.7395,100,timed
15392df31d78737912a7fb12485d4cd6,,,,3.0189,2.9157,3.6233,3.2193,100,timed
1583dcc40be576ec7008f126e6e81512,,,,5.4307,4.8848,5.5422,5.3659,100,timed
1596fd1ef512a1f2e0d53a5f56881d8c,,,,4.8358,4.2159,4.8966,4.7402,100,timed
15ab0e32f80a8c849f3059558d6870ef,,,,6.6794,6.0640,6.7647,6.6221,100,timed
15cb16810ae9474dee310a1eb9328967,,,,5.9666,5.4104,6.1052,5.7923,100,timed
16145ce8a1a7ec9c0cc956d794267763,,,,5.6014,4.9938,5.6926,5.5174,100,timed
16225523801005dd8ea21f1ef27c0310,,,,7.0398,6.4484,7.1609,6.9361,100,timed
167e7c85c4a65b87b0fd985096f55495,,,,7.3270,6.9104,7.4300,7.3025,100,timed
168e95938db8e7c52112e58c0f292079,,,,2.1373,2.1044,2.1790,2.1384,100,timed
16a0f01729c0044e29933500d3355681,,,,3.5161,3.4294,4.0598,3.6934,100,timed
17231e3e4bdb695ba7f4938fe4bb313f,,,,4.2841,3.6913,4.4341,4.1384,100,timed
173b06d79e4c725a3c7bb7d2d1a05177,,,,6.2672,5.6457,6.3498,6.2042,100,timed
174c06f72389faa51a6b8153b87fd380,,,,5.8127,5.1628,5.9015,5.7220,100,timed
178a4448e12d9f02821df3b4993a5897,,,,6.5208,5.8706,6.6004,6.4161,100,timed
17fd2abaf102f70113324aa2e536f8c4,,,,5.3609,4.6907,5.4788,5.2239,100,timed
1861cea8716fd7bebbd36446e7c95ea5,,,,4.9638,4.4311,5.0351,4.9378,100,timed
1864812c899522d96a54dec5a4625e45,,,,4.2953,3.7382,4.6003,4.2726,100,timed
18717f525fd1554aea7a0ec9907b633a,,,,5.4499,4.9221,5.7143,5.4310,100,timed
188ca2126f2621e2f367864d15117356,,,,4.7233,4.1823,4.8336,4.6704,100,timed
18e7e3d39b5b57052ca70818bd8382e4,,,,4.5093,3.8299,4.5708,4.4378,100,timed
18f0bea6e38607c88b03a8b2ba7bcc8e,,,,3.1383,3.0532,3.7607,3.2025,100,timed
19a7627b5a32093b415f7837ab27e5cd,,,,5.6865,5.0405,5.7911,5.5630,100,timed
1a23d766bc88a66c08a77daa62511899,,,,4.7278,4.1072,4.9064,4.6548,100,timed
1a2c54fe9e8c032f910a50333346e317,,,,4.9478,4.2041,5.3320,4.8974,100,timed
1ae5551b973f460743db65219af7898c,,,,4.2433,4.1059,4.8438,4.4300,100,timed
1afab1094896c3d6eee4534861682aea,,,,6.1388,5.4547,6.2568,6.0769,100,timed
1afd00395ec69ed9f63948e25b6b3fe9,,,,3.9756,3.3358,4.0914,3.8910,100,timed
1b52eedea10c86e566841c87ddfe4125,,,,5.3506,5.0206,5.7563,5.4008,100,timed
1b907c229ed015b3f2ef1a17ed706709,,,,4.8982,4.4044,4.9761,4.8694,100,timed
1c14688f9132dec0c53d90f9480c8527,,,,6.0420,5.4511,6.1420,5.9807,100,timed
1c5e924cca660d3ff445a2f34da5e7d9,,,,6.2959,5.5939,6.4180,6.2163,100,timed
1ca7a0759b04e3e871b9391849ff5914,,,,2.3893,2.3410,2.4537,2.3939,100,timed
1d32ff28746ec3f856ff5b2103ff8c87,,,,5.4129,4.8546,5.4945,5.3643,100,timed
1d51417872db404b98002772ce6918ef,,,,5.6953,5.1013,5.7919,5.5983,100,timed
1dc1e82eea097075a9e046d10b419a42,,,,6.5292,5.9665,6.7689,6.4906,100,timed
1dc4b0379b65b432b148aeed88fc6504,,,,5.9533,5.2781,6.0433,5.8924,100,timed
1e174f53f1f1ab7f67f3117c88f06469,,,,8.0417,7.2858,8.1975,8.0142,100,timed
1e3dad61a43e8ea069745069f68062e3,,,,4.1267,3.5593,4.2363,4.0802,100,timed
1e7a78da6c7fdcd80c785c167a962a25,,,,4.8651,4.3457,4.9562,4.8155,100,timed
1eac8b63b3ed0ebddd37682e7d2b30d4,,,,4.6813,4.1202,4.7760,4.6359,100,timed
1ec8f6c2cee11678ee2390c9a260756d,,,,4.5166,3.9200,4.6039,4.4201,100,timed
1ecb5011982f7afbbe77f62781d9890a,,,,7.6020,6.9777,7.6977,7.5440,100,timed
1eedce0cf2d0b9e046f262a7348bd5a4,,,,4.4338,3.8838,4.5111,4.3788,100,timed
1eeeb1ba375ad89b28edc6e8b86d2b95,,,,4.0577,3.9939,4.6442,4.2604,100,timed
1f5dd39f87696e1919815c0f2bfe69fc,,,,5.1088,4.5633,5.2664,5.0788,100,timed
1f7d9e17259b6fbd22a3f062aee0707f,,,,6.9020,6.2690,6.9741,6.8272,100,timed
1f941406ab56a639aa09655485551228,,,,5.5328,4.7670,5.9334,5.5095,100,timed
1fe74490deafa6dc78260f94be11881d,,,,7.3112,6.6266,7.4612,7.2637,100,timed
20259ceb22b0ddbdc2fa770958593602,,,,5.9969,5.4300,6.0614,5.9331,100,timed
20eb3079cc47b71a42078650fef10acb,,,,5.4191,4.9050,5.5569,5.3892,100,timed
2105e2560b24d9f593f378f60564da62,,,,5.5862,4.9506,5.7829,5.5404,100,timed
21441e79b8e2987920db18e3db6dbe26,,,,5.2961,4.8188,5.4861,5.2863,100,timed
2149da2d47575fcb253d4999f2b5e97c,,,,7.1685,6.6507,7.4515,7.1582,100,timed
216b95c163d04dd694c711adfcb33a2f,,,,4.0945,3.5265,4.3818,4.0184,100,timed
21ba5b8c49bac5132d4b27d0a52309e9,,,,4.7238,4.1319,4.8052,4.6466,100,timed
21fc7949ccbefbbaaa879490155fce24,,,,4.9971,4.4789,5.0675,4.9255,100,timed
2287179716f9f737509e545a72935d73,,,,5.9835,5.3762,6.1131,5.9448,100,timed
229ad37fca0db5be24bfcce9cb434885,,,,3.8954,3.2761,3.9698,3.8389,100,timed
23210bc67e4905db94d53ca2faa94683,,,,5.5567,5.0362,5.6932,5.5062,100,timed
232b900e952d86a83b0ff85c0a22cca0,,,,3.9024,3.2613,3.9952,3.7711,100,timed
2353fb48bc457d282a97ca0952fe81cc,,,,7.2846,6.5409,7.4028,7.2149,100,timed
23c627ab1005986bc302013e636f74b7,,,,5.4135,4.8795,5.4988,5.3849,100,timed
23d302b91df3ec80c544842601aa257e,,,,4.0532,3.4322,4.5046,4.0640,100,timed
23f8555ecc00f016e990ecc73ea974b7,,,,5.4056,5.2427,5.9153,5.5634,100,timed
243037e12607b17d7f6704fcee4054af,,,,2.4746,2.4259,2.6645,2.5014,100,timed
246b7cbd9e3cf0a489eaf9c4a1da7259,,,,6.3792,5.8446,6.4595,6.3338,100,timed
24a787a1d9370b2a4774f02d5ec9c4d3,,,,4.2358,3.7157,4.3719,4.1941,100,timed
24c4c721360d64daac9dd571817d6f6b,,,,4.7350,4.2080,4.8533,4.7188,100,timed
25096dc2986f9bd17a2d1ec37f88cfdf,,,,6.3672,5.8067,6.4536,6.3166,100,timed
250c5f63f0a4a985e704c8b6b34fd6ef,,,,5.6695,5.1525,5.8522,5.6498,100,timed
254b3c11e4f6b7efff630810abcfb911,,,,5.1971,4.3083,5.5700,5.1285,100,timed
2570684e6c93beef23eba988fc127e25,,,,5.0465,4.4043,5.1704,4.9235,100,timed
257bbcabebeac5cf4a05d90f7c40e153,,,,4.5018,3.9842,4.7170,4.4770,100,timed
25a0e9ef34153e7ebbc2859b240a8aa4,,,,5.9255,5.3801,6.1545,5.8922,100,timed
25b8b63322b04bdb25b851c263b2dc42,,,,4.7009,4.2074,4.7780,4.6575,100,timed
25f9518d1d78d0afa6973598504514c1,,,,3.3807,3.0157,3.6773,3.3787,100,timed
2606681fe3610e3e4daf4995c9080417,,,,5.5428,5.1165,5.6558,5.4789,100,timed
2626b5c0d77a00273062ab96adf47b64,,,,4.3226,3.7689,4.4088,4.2361,100,timed
26ba0d72dc61765a22e3a27a93a358a2,,,,5.1332,4.6931,5.3374,5.1163,100,timed
273858a4ae59fff330b62302797c3060,,,,3.7387,3.1579,3.8504,3.6013,100,timed
276d9b262722e4cb6391dc9fed698aa7,,,,7.0413,6.4261,7.1420,6.9862,100,timed
2777d15efdb2babf660108adf41b5c58,,,,5.9196,5.2501,6.0000,5.8541,100,timed
27869617a9bfc0da5f109c84c4a939c7,,,,6.9201,6.4714,6.9823,6.8725,100,timed
278a65c91e279624407615a84f3282c4,,,,1.7484,1.7271,1.7802,1.7526,100,timed
2796f1f6b3bc126233b45ddecb92ff18,,,,6.2680,5.5954,6.4129,6.1897,100,timed
27dc55892a49a9dd4fc9732c25d8fbcc,,,,5.3260,4.7350,5.4640,5.2635,100,timed
28087cc5e605205e2d53e79eb4b22942,,,,5.0575,4.7487,5.4827,5.1209,100,timed
281a90bd259878c4e3a6812d68e0bc4b,,,,4.3717,3.7956,4.5759,4.2877,100,timed
2828eef801200e5557e3024786e8ec74,,,,5.3937,4.9431,5.5332,5.3738,100,timed
287b525d274fd684528ed557aa9e6b11,,,,4.5458,3.9842,4.6738,4.5146,100,timed
28986004b1d5902d97878e6a72802dc9,,,,4.6063,4.3682,5.0012,5.2607,100,timed
2a0e13ead6ab55828814b273435fc75e,,,,7.4208,7.2585,8.7237,7.7028,100,timed
2a3d57754e3da2cec361d4b21d05c911,,,,4.2461,4.1318,5.3875,4.4507,100,timed
2a5ecf52cbbc72f82e9d3f85f3899354,,,,5.5688,4.9502,6.5286,5.5617,100,timed
2a922a7a0697d6ce64e8d578155b0c0d,,,,5.8334,5.0120,6.5458,5.7818,100,timed
2a9de05ff1fb55ac3c8e8700b6945372,,,,6.4912,5.7006,7.6883,6.5872,100,timed
2ac790ea15872d689a7c1dde78d435fd,,,,4.9252,4.2587,5.6270,4.9536,100,timed
2af739975919c70aeb3220cf342a675e,,,,3.1008,2.9953,4.0329,3.2751,100,timed
2b1027320feb50ac8ec9666faecc71d5,,,,6.3414,5.5893,7.2148,6.3816,100,timed
2b793391542d1c3feb8480612fe8f236,,,,4.1316,3.8055,4.8742,4.2380,100,timed
2b92baf1c73cd1db1bc4ef791da1bfa5,,,,5.1265,5.0304,6.2894,5.3395,100,timed
2bbd45993be265cb509161b6d75c8d92,,,,6.0113,5.8434,6.7200,6.0913,100,timed
2bf548699570ea68a4cd1b967cd088d5,,,,4.8457,4.6898,5.5401,4.9487,100,timed
2c6d2b337e4e88e1b95b956eeb25a765,,,,4.6667,4.5384,4.9351,4.6935,100,timed
2c751a7023a29f5c4e0b9d47e3db010d,,,,3.9171,3.8128,4.3091,3.9572,100,timed
2c8251c708c98122e003a8b7e6e1b7cc,,,,3.9614,3.8376,4.5148,4.0215,100,timed
2ce34fada9900cdbd52a7d113f4b7055,,,,4.8418,4.7190,5.6853,4.9709,100,timed
2d28553a81331f53056dd92d99c4f169,,,,4.4758,4.3434,5.0514,4.5606,100,timed
2d5413cb4137167fcd3dbfc48f88367f,,,,4.7340,4.6180,5.5275,4.8532,100,timed
2d91b76965365cc40770e11ff78762cb,,,,6.3082,6.1726,7.4688,6.4996,100,timed
2e3850a1615f1146eb28fc4849aec8ee,,,,4.3408,4.2372,4.9508,4.4158,100,timed
2e4bceda92325ada53fd79c859247925,,,,2.7051,2.6311,2.9871,2.7451,100,timed
2e7117d2db43f73aa5f0c11b31d551ca,,,,4.4438,4.3170,5.0274,4.5034,100,timed
2ea7c78ede3d80e4b444cefca490d9d3,,,,5.6710,5.4749,6.5588,5.8085,100,timed
2ebda12d9d5ec14d5f1aaca1f53ef203,,,,3.0362,2.9635,3.4564,3.0893,100,timed
2ee627980d8e573758a45c6b555c2853,,,,4.9431,4.7939,5.6505,5.0202,100,timed
2f04860e35acafe5d543b959bebdf83a,,,,3.9713,3.8250,4.1905,3.9969,100,timed
2f0e3ffd9e4576589b4a0a21bf2bf01d,,,,2.3589,2.2956,2.6564,2.4024,100,timed
2f15ccd4bd9b45cb3ad9ecee049305d4,,,,4.4085,4.3137,5.0438,4.4836,100,timed
2f416b94decca6f4924fa1c57ac92695,,,,2.8422,2.7269,3.0751,2.8708,100,timed
2f46c9d2f1cff176f34a2295c49822bc,,,,1.9611,1.8954,2.2280,1.9976,100,timed
30076d2dd87fd2d84f81d0e03f377c05,,,,3.7666,3.6782,4.2968,3.8314,100,timed
313736e5b054727569cd58208e87ba83,,,,5.5849,5.4441,6.5543,5.7204,100,timed
